hcpcs_code,total_paid,total_claims,total_beneficiaries,row_count
90472,177165.48,29378,26374,727
93976,176200.13,2515,2112,102
80325,175723.69,9764,7511,69
76817,175420.12,8087,6696,277
45385,175139.66,454,407,28
54304,175040.26,241,236,16
92567,174223.28,48717,40177,1986
88377,173697.07,2673,1884,76
90792,172885.55,3304,2491,127
D0603,172150.96,31053,29746,632
77066,169877.19,5644,4560,137
D1354,168686.69,25819,6231,199
99472,167011.73,671,198,12
T2046,165082.3,33,28,2
J7040,164585.42,18843,7353,186
Q9967,163838.58,13756,10902,290
76700,163163.09,2417,2211,111
D0145,162910.24,4902,4759,186
87340,160909.88,3968,3509,198
V5264,160883.2,3775,3308,82
99238,159137.2,4541,3826,227
87632,157989.79,3339,2757,59
72125,156895.54,4315,3531,198
69436,154229.61,377,367,26
96413,153452.22,3583,2435,135
59514,148390.05,1156,942,52
59515,145044.36,123,117,9
94640,144928.16,20158,14946,519
99188,144530.97,17439,16512,712
J0882,144391.69,683,298,16
80345,142784.7,11147,8772,74
45380,142627.78,439,414,30
99404,142265.51,1419,1288,29
92060,142161.17,10444,8671,137
82805,141815.54,15080,4439,178
82962,141635.67,139269,23832,423
97151,138453.52,870,563,33
42820,137472.05,181,177,12
D9995,137057.09,8669,7422,200
D4341,135668.77,5447,1425,93
A9500,135621.33,4432,3317,148
90882,135162.03,1655,721,26
98941,134637.52,5456,2476,114
45378,134117.94,637,497,36
V5140,134069.99,540,476,30
88361,132162.78,2890,2384,82
87636,131774.89,1925,1853,85
82374,130559.78,663,449,33
G0463,129958.63,2854,2136,98
S0201,129952.16,2345,267,8
87801,129474.03,5528,5054,89
93015,129451.34,6171,4822,189
99384,127679.53,962,894,50
99235,124659.4,909,837,40
00731,123449.58,2159,1880,117
83992,122342.23,10999,8649,75
D3330,121912.53,243,217,13
76825,121027.38,802,745,45
99345,119422.33,487,487,19
84702,118516.01,38968,30526,886
99479,117471.6,1511,536,38
U0005,117328.1,16451,14119,65
90887,116128.83,1528,481,23
80356,114314.81,11404,8984,76
81003,113982.19,118314,91264,1661
80354,113641.33,11748,9210,95
80346,113508.67,11144,8786,76
J0490,113448.06,103,38,3
85730,113438.18,104457,72225,1199
80367,113366.88,11179,8801,76
80372,113179.98,11163,8795,76
80373,113133.47,11178,8806,75
80361,113013.76,11463,9038,75
80365,112973.83,11487,9060,75
80368,112951.63,11135,8767,75
80348,112783.16,11251,8839,76
87086,112778.81,72918,63712,832
80357,112621.44,11179,8802,75
J0696,112597.41,10851,7614,217
87637,112536.6,1937,1720,62
80366,112476.85,11171,8785,75
85060,112233.71,16895,13990,509
72141,111990.24,561,431,28
88189,111904.65,4936,4487,90
87088,111744.0,36347,30982,587
80358,111472.6,11231,8841,76
D3220,110653.17,6370,2977,170
80360,110645.07,11036,8673,75
80353,110586.31,11209,8831,76
99460,110377.47,1666,1552,98
82435,110274.07,593,439,33
80359,110115.14,11173,8792,75
96110,109386.11,33669,25216,858
99442,108836.47,7018,6080,227
V5090,108733.84,787,718,35
86850,107652.32,72249,58957,825
99382,107539.74,900,869,53
S1040,107277.0,53,43,3
92083,104895.18,1964,1742,65
83880,104146.95,25995,18779,739
80076,102998.68,61376,48948,922
85610,102772.61,134234,82966,1267
97140,101589.07,8469,2339,115
T1024,101422.5,863,826,54
86706,100841.47,841,667,37
80370,99289.04,9690,7432,69
80364,97605.72,9690,7421,69
95912,96574.41,997,760,42
80349,96541.97,10033,7706,103
D0602,96179.99,7936,7874,217
80355,95219.74,8295,6059,56
81002,93818.16,56417,41504,1399
87651,93672.69,16419,15331,337
H0005,92615.75,2690,1776,39
71250,92129.82,1336,1243,66
90686,90826.17,65178,58720,1600
90836,90290.27,2734,2165,89
J2704,89388.35,5492,4152,157
80503,88054.96,18213,11103,141
82803,87648.69,19990,7069,300
99245,87318.72,506,471,26
H2022,86300.0,1039,145,9
73630,86204.63,6944,5366,323
J1642,85418.38,825,118,9
00813,85377.27,1240,1043,57
80334,85249.24,4738,3258,52
D5110,84575.56,131,125,7
17111,84380.71,1524,1425,68
80500,84098.15,22557,16133,206
93975,83964.98,3785,3200,65
87807,83638.37,43395,38353,784
54161,83608.66,298,287,20
T1026,82912.96,593,103,8
92015,82827.83,33222,31574,1112
70553,82342.63,551,505,33
83690,82173.92,100513,83833,1429
G0447,81717.93,39264,35106,1070
87799,81555.3,2429,2242,49
96160,81198.24,42173,36140,668
59425,80785.28,1808,1318,66
95913,80620.55,685,576,28
69210,78442.17,9657,6077,371
H0014,77875.0,276,130,10
H0049,77834.2,14941,13726,315
99254,77710.54,991,780,52
74018,76363.86,7669,6931,304
31575,75687.91,1799,1048,72
D8680,74701.99,916,681,20
88304,74589.88,9347,8583,461
A9900,73062.17,417,376,24
86900,72925.68,107879,89566,1043
82108,72642.65,701,526,27
88264,71691.49,1646,1532,58
73721,71385.4,752,540,36
99070,70732.0,1828,1312,49
95811,70456.6,171,137,9
J0604,70088.78,545,197,15
71260,68935.25,1097,1010,58
88360,68851.42,3578,2899,93
99307,68044.35,23129,14264,347
A5512,67425.98,3405,1467,74
E0676,67353.63,766,571,14
E0431,66577.19,6497,4893,144
S5170,66551.75,1403,634,8
Y7506,66519.65,473,427,20
80323,66109.93,4471,3028,44
87077,65808.52,28308,23140,703
86920,65611.49,6690,4215,164
92558,65510.62,19275,17992,338
77063,65225.79,7671,6399,277
99462,64062.25,2017,1582,93
90785,63980.91,9743,3982,181
D0160,63954.3,261,229,9
95930,63812.63,1095,989,48
96366,63381.99,3742,2161,99
82948,63055.14,16643,7316,318
80338,62941.34,4976,3461,48
99354,62915.47,1574,1004,31
95700,62805.59,114,114,7
80371,62233.75,5219,3691,61
95115,61851.25,7425,3246,178
86901,61643.5,111632,92650,1070
29848,61149.42,91,85,6
G2012,60613.72,10377,8791,57
80339,60237.5,4609,3165,45
J1170,60036.5,15927,2952,145
95813,59873.6,146,145,7
80337,59471.93,4749,3270,53
G0008,58768.35,1578,1349,63
84703,58651.24,40022,33941,857
83605,58583.27,44361,30786,900
D0999,58286.65,1247,1120,29
D9310,58207.82,2563,2342,101
K0001,58061.65,7274,4748,157
0225U,57938.95,632,606,19
G0499,57049.21,608,359,22
93224,56459.78,1770,1427,54
H0046,56086.12,4204,2481,61
76536,55368.18,799,706,45
V5010,54952.98,2269,2105,69
84443,54946.8,42540,31727,795
87081,54592.09,13247,11948,328
80047,54497.92,7536,5849,81
